RESERVA_TER_COD,RESERVA_LOCAL,RESERVA_DESTINO,RESERVA_DESCRICAO,RESERVA_POSICAO,VEICULO,RESERVA_TIPO_FACT,PED_COD_SERVICO,PED_NUM_VEICULOS,PED_NUM_BOMBEIROS,PED_KILOMETROS,PED_LOCAL,DURACAO_MINUTOS,ANO,MES,DIA_SEMANA,HORA_SAIDA_NUM,MINUTOS_SAIDA,TURNO
3,5,20,6,2,9,2,4119,1,1,210,53,310,2005,1,4,8,500,3
6,5,54,14,1,15,5,4103,1,2,9,110,19,2005,1,4,11,700,3
6,5,54,14,1,5,5,4103,1,2,6,111,16,2005,1,4,11,702,3
1,12,1,2,1,1,1,4119,1,1,150,1,145,2005,1,4,14,840,1
1,5,104,17,1,7,1,4119,1,1,180,112,140,2005,1,4,14,880,1
1,5,105,2,1,9,1,4119,1,1,135,113,140,2005,1,4,14,880,1
1,5,99,17,1,11,1,4119,1,1,60,114,107,2005,1,4,20,1213,2
3,5,20,6,2,3,4,4119,1,1,120,22,195,2005,1,4,16,1005,1
1,5,102,2,1,2,1,4119,1,2,114,115,145,2005,1,4,16,1005,1
3,5,20,14,2,9,4,4119,1,1,120,22,220,2005,1,4,17,1040,1
1,5,21,4,1,1,1,4119,1,1,320,14,1090,2005,1,4,19,1150,2
6,5,54,14,1,15,5,4103,1,2,10,116,14,2005,1,4,21,1303,2
1,13,106,2,1,11,1,4119,1,1,50,117,163,2005,1,4,20,1237,2
6,27,54,14,1,15,5,4103,1,2,10,118,27,2005,1,4,22,1321,2
6,5,54,14,1,5,5,4103,1,2,6,119,22,2005,1,4,22,1348,2
1,5,107,4,1,6,1,4119,1,1,320,5,195,2005,1,5,4,285,4
1,5,108,4,1,3,1,4119,1,1,86,120,110,2005,1,5,11,680,3
1,5,100,4,1,1,1,4119,1,1,99,106,150,2005,1,5,13,830,1
1,5,10,4,1,1,1,4119,1,1,329,38,380,2005,1,5,13,790,1
6,28,54,14,1,15,5,4103,1,2,40,121,39,2005,1,5,12,748,3
6,5,54,14,1,15,5,4103,1,2,18,122,32,2005,1,5,13,795,1
1,29,24,2,1,3,1,4119,1,1,67,123,100,2005,1,5,16,980,1
6,27,109,2,2,8,1,4119,1,1,12,118,60,2005,1,5,18,1080,1
6,1,5,3,2,3,1,4119,1,1,320,101,995,2005,1,5,18,1085,1
6,5,54,14,1,15,5,4103,1,2,7,124,18,2005,1,5,18,1112,1
6,1,52,10,1,3,1,4119,1,1,320,101,995,2005,1,5,18,1085,1
6,30,13,14,1,15,5,4103,1,2,36,125,32,2005,1,6,5,310,4
1,5,1,4,1,1,1,4119,1,1,145,1,170,2005,1,6,10,610,3
1,1,110,4,1,11,1,4119,1,1,71,126,101,2005,1,6,10,629,3
1,1,70,6,1,2,1,4119,1,1,82,82,120,2005,1,6,10,630,3
1,5,5,4,1,6,1,4119,1,1,320,18,330,2005,1,6,13,810,1
1,5,111,2,1,2,1,4119,1,1,67,104,85,2005,1,6,13,825,1
1,5,34,4,1,12,1,4119,1,1,353,18,294,2005,1,6,16,966,1
1,5,5,1,1,6,1,4119,1,1,320,18,1150,2005,1,6,20,1210,2
3,31,5,3,1,1,4,4119,1,1,350,14,605,2005,1,0,6,375,4
1,5,112,4,1,3,1,4119,1,1,320,127,510,2005,1,0,6,390,4
5,32,73,5,2,12,2,4119,1,1,340,128,330,2005,1,0,7,420,3
3,5,20,6,2,8,4,4119,1,1,210,22,300,2005,1,0,8,480,3
3,25,20,13,2,8,4,4119,1,1,210,22,300,2005,1,0,8,480,3
3,5,11,3,2,8,4,4119,1,1,10,129,30,2005,1,0,8,510,3
3,5,10,5,1,9,2,4119,1,1,330,18,372,2005,1,0,10,648,3
1,5,113,4,1,7,1,4119,1,1,130,130,105,2005,1,0,12,765,3
6,5,13,14,1,5,2,4103,1,2,25,131,64,2005,1,0,9,581,3
1,5,10,4,1,11,2,4119,1,1,320,18,329,2005,1,0,11,691,3
1,5,114,4,1,10,2,4119,1,1,30,132,90,2005,1,0,15,930,1
3,5,20,6,2,7,2,4119,1,1,120,53,179,2005,1,0,16,991,1
3,5,20,14,1,10,2,4119,1,1,120,22,180,2005,1,0,17,1050,1
3,1,20,14,2,10,2,4119,1,1,120,22,180,2005,1,0,17,1050,1
1,5,10,4,1,9,2,4119,1,1,320,18,360,2005,2,1,7,420,3
1,5,5,18,1,6,1,4119,1,1,320,18,260,2005,2,1,5,350,4
1,5,115,4,1,1,2,4119,1,1,420,133,600,2005,2,1,8,480,3
3,33,116,4,2,3,2,4119,1,1,472,133,600,2005,2,1,6,360,4
1,5,115,4,1,1,2,4119,1,1,420,133,600,2005,2,1,8,480,3
1,5,117,18,1,2,1,4119,1,1,55,134,125,2005,2,1,13,835,1
1,5,1,18,1,9,1,4119,1,1,130,1,220,2005,2,1,13,800,1
3,34,20,6,2,8,4,4119,1,1,200,22,330,2005,2,1,13,780,1
3,5,20,6,2,7,4,4119,1,1,150,22,250,2005,2,1,13,800,1
2,5,52,2,1,2,3,4119,1,2,10,135,40,2005,2,1,19,1195,2
6,1,81,1,1,3,1,4119,1,1,334,77,1206,2005,2,1,21,1266,2
3,5,10,5,2,10,1,4119,1,1,330,18,420,2005,2,2,7,420,3
3,5,10,6,2,1,4,4119,1,1,330,18,440,2005,2,2,7,450,3
3,5,20,4,2,8,4,4119,1,1,210,22,320,2005,2,2,8,480,3
6,5,54,4,1,3,3,4119,1,2,20,136,60,2005,2,2,8,510,3
1,5,54,4,1,3,1,4119,1,2,5,29,14,2005,2,2,9,571,3
1,5,52,4,1,3,1,4119,1,2,10,7,39,2005,2,2,11,661,3
1,5,118,4,1,3,1,4119,1,2,10,9,50,2005,2,2,11,700,3
1,5,119,4,1,7,1,4119,1,1,160,81,155,2005,2,2,12,760,3
1,5,120,4,1,2,1,4119,1,1,70,137,310,2005,2,2,12,770,3
1,5,10,4,2,9,1,4119,1,1,325,18,330,2005,2,2,14,850,1
1,5,26,4,2,9,1,4119,1,1,325,18,330,2005,2,2,14,850,1
1,5,35,4,2,9,1,4119,1,1,325,18,330,2005,2,2,14,850,1
1,5,121,4,1,3,1,4119,1,2,80,115,119,2005,2,2,14,841,1
3,5,20,6,2,7,2,4119,1,1,120,60,209,2005,2,2,16,991,1
3,5,20,4,2,10,2,4119,1,1,120,60,204,2005,2,2,17,1041,1
3,5,20,4,2,10,2,4119,1,1,120,60,204,2005,2,2,17,1041,1
1,27,109,2,1,1,1,4119,1,1,21,138,64,2005,2,2,18,1101,1
1,5,122,4,1,1,1,4119,1,1,21,138,64,2005,2,2,18,1101,1
1,5,123,4,2,9,1,4119,1,1,5,139,35,2005,2,2,21,1295,2
1,5,124,4,1,9,1,4119,1,2,59,140,75,2005,2,2,22,1360,2
6,35,97,4,1,1,3,4119,1,2,30,103,125,2005,2,3,10,615,3
1,5,125,4,1,2,1,4119,1,1,62,141,120,2005,2,3,12,760,3
3,5,20,6,2,8,2,4119,1,1,210,22,350,2005,2,3,13,790,1
3,34,20,6,2,8,4,4119,1,1,210,22,350,2005,2,3,13,790,1
1,5,126,4,1,7,1,4119,1,1,160,50,170,2005,2,3,13,830,1
1,5,127,4,1,2,1,4119,1,1,119,142,175,2005,2,3,14,885,1
1,5,128,6,1,2,1,4119,1,1,60,143,100,2005,2,3,18,1080,1
1,5,129,4,1,7,1,4119,1,1,100,3,100,2005,2,3,19,1150,2
1,1,130,19,1,9,1,4119,1,1,100,144,130,2005,2,3,20,1200,2
1,5,131,4,1,10,1,4119,1,1,30,145,75,2005,2,3,19,1170,2
1,5,97,4,1,9,1,4119,1,2,33,103,70,2005,2,3,22,1345,2
1,5,132,4,1,2,1,4119,1,2,5,43,19,2005,2,4,0,1,4
1,5,133,4,1,9,1,4119,1,1,89,146,79,2005,2,4,0,1,4
3,5,10,6,1,1,4,4119,1,1,325,6,585,2005,2,4,6,360,4
6,36,134,4,1,7,3,4119,1,1,200,147,240,2005,2,4,8,480,3
1,5,135,4,1,2,1,4119,1,1,121,148,159,2005,2,4,10,641,3
